[13/08/22] [13:00:25] Naqasake Komutan | Adrenaline to id: 16
[13/08/22] [13:00:36] Naqasake Komutan | Adrenaline to id: 16
[13/08/22] [13:01:49] Antu Donmez | Adrenaline to id: 16
[13/08/22] [13:05:23] Antu Donmez | Adrenaline to id: 16
[13/08/22] [13:05:46] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [13:05:55] Naqasake Komutan | Adrenaline to id: 16
[13/08/22] [13:05:55] Mehmet Ekinci | Heal to id: 8
[13/08/22] [13:06:02] Naqasake Komutan | Adrenaline to id: 16
[13/08/22] [13:14:54] Fuat Kocaeli | Adrenaline to id: 5
[13/08/22] [13:20:53] Ahmet Tufan | Adrenaline to id: 6
[13/08/22] [13:21:09] Ahmet Tufan | Heal to id: 6
[13/08/22] [13:25:34] Fuat Kocaeli | Adrenaline to id: 16
[13/08/22] [13:25:41] Fuat Kocaeli | Adrenaline to id: 16
[13/08/22] [13:25:46] Fuat Kocaeli | Heal to id: 16
[13/08/22] [13:26:01] Fuat Kocaeli | Adrenaline to id: 16
[13/08/22] [13:26:53] Ahmet Tufan | Adrenaline to id: 16
[13/08/22] [13:27:24] Ahmet Tufan | Adrenaline to id: 16
[13/08/22] [13:27:56] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [13:28:13] Mehmet Ekinci | Heal to id: 8
[13/08/22] [13:28:42] Fuat Kocaeli | Adrenaline to id: 8
[13/08/22] [15:03:11] Jack Harris | Adrenaline to id: 1
[13/08/22] [16:43:25] Fuat Kocaeli | Adrenaline to id: 7
[13/08/22] [17:16:15] Fuat Kocaeli | Adrenaline to id: 16
[13/08/22] [17:59:40] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:04:59] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:12:39] Antu Donmez | Adrenaline to id: 1
[13/08/22] [18:13:23] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:13:29] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:13:34] Jack Harris | Adrenaline to id: 1
[13/08/22] [18:13:43] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:13:44] Antu Donmez | Adrenaline to id: 16
[13/08/22] [18:13:46] Mehmet Ekinci | Heal to id: 8
[13/08/22] [18:14:18] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:14:28] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:14:31] Mehmet Ekinci | Heal to id: 8
[13/08/22] [18:14:56] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:15:02] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:15:24] Antu Donmez | Adrenaline to id: 3
[13/08/22] [18:15:39] Emre Kurt | Adrenaline to id: 16
[13/08/22] [18:15:51] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:15:56] Emre Kurt | Adrenaline to id: 16
[13/08/22] [18:15:57] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:16:04] Mehmet Ekinci | Heal to id: 8
[13/08/22] [18:17:35] Antu Donmez | Adrenaline to id: 16
[13/08/22] [18:18:02] Emre Kurt | Adrenaline to id: 7
[13/08/22] [18:18:16] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:18:20] Emre Kurt | Adrenaline to id: 7
[13/08/22] [18:19:44] Antu Donmez | Adrenaline to id: 16
[13/08/22] [18:19:45] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:21:21] Antu Donmez | Adrenaline to id: 1
[13/08/22] [18:21:44] Mehmet Ekinci | Adrenaline to id: 8
[13/08/22] [18:21:55] Antu Donmez | Adrenaline to id: 1
[13/08/22] [18:22:03] Antu Donmez | Adrenaline to id: 1
[13/08/22] [18:27:18] Antu Donmez | Adrenaline to id: 8
[13/08/22] [18:27:32] Antu Donmez | Adrenaline to id: 8
[13/08/22] [18:28:57] Antu Donmez | Adrenaline to id: 8
[13/08/22] [18:29:50] Antu Donmez | Adrenaline to id: 8
[14/08/22] [11:10:24] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [11:10:35] Mehmet Ekinci | Heal to id: 8
[14/08/22] [12:27:46] Antu Donmez | Adrenaline to id: 9
[14/08/22] [17:39:39] Mehmet Ekinci | Heal to id: 8
[14/08/22] [19:01:11] Abbas Devir | Heal to id: 17
[14/08/22] [19:10:21] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [19:10:24] Mehmet Ekinci | Heal to id: 8
[14/08/22] [19:16:02] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [19:16:07] Mehmet Ekinci | Heal to id: 8
[14/08/22] [19:18:30] Antu Donmez | Adrenaline to id: 3
[14/08/22] [19:21:36] Abbas Devir | Adrenaline to id: 17
[14/08/22] [19:22:48] Abbas Devir | Adrenaline to id: 1
[14/08/22] [19:22:56] Abbas Devir | Adrenaline to id: 17
[14/08/22] [19:22:58] Jack Harris | Adrenaline to id: 1
[14/08/22] [19:25:05] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [19:25:13] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [19:25:21] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [19:37:59] Mehmet Ekinci | Heal to id: 21
[14/08/22] [19:43:05] Ozgur Baba | Adrenaline to id: 8
[14/08/22] [19:43:14] Ozgur Baba | Adrenaline to id: 21
[14/08/22] [19:46:43] Antu Donmez | Adrenaline to id: 3
[14/08/22] [20:05:19] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [20:09:14] Mehmet Ekinci | Adrenaline to id: 5
[14/08/22] [20:09:33] Mehmet Ekinci | Adrenaline to id: 5
[14/08/22] [20:14:33] Abbas Devir | Adrenaline to id: 5
[14/08/22] [20:14:38] Abbas Devir | Adrenaline to id: 5
[14/08/22] [20:24:51] Abbas Devir | Adrenaline to id: 5
[14/08/22] [20:30:17] Abbas Devir | Adrenaline to id: 12
[14/08/22] [20:30:28] Ozgur Baba | Heal to id: 12
[14/08/22] [20:37:15] Abbas Devir | Adrenaline to id: 1
[14/08/22] [20:38:08] Ozgur Baba | Adrenaline to id: 1
[14/08/22] [20:38:55] Abbas Devir | Heal to id: 17
[14/08/22] [21:00:30] Abbas Devir | Adrenaline to id: 1
[14/08/22] [21:00:34] Abbas Devir | Adrenaline to id: 1
[14/08/22] [21:02:45] Abbas Devir | Heal to id: 17
[14/08/22] [21:03:38] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:04:12] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:08:33] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:08:39] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:08:43] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:08:47] Ozgur Baba | Adrenaline to id: 1
[14/08/22] [21:08:52] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:08:56] Ozgur Baba | Adrenaline to id: 1
[14/08/22] [21:08:57] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:09:04] Ozgur Baba | Adrenaline to id: 3
[14/08/22] [21:09:12] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:09:23] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:10:09] Ozgur Baba | Adrenaline to id: 12
[14/08/22] [21:10:13] Mehmet Ekinci | Heal to id: 8
[14/08/22] [21:10:43] Antu Donmez | Adrenaline to id: 3
[14/08/22] [21:12:44] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [21:12:46] Antu Donmez | Adrenaline to id: 8
[14/08/22] [21:12:56] Antu Donmez | Adrenaline to id: 8
[14/08/22] [21:21:00] Jack Harris | Adrenaline to id: 1
[14/08/22] [21:36:02] Abbas Devir | Adrenaline to id: 1
[14/08/22] [21:37:14] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [21:37:31] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [21:37:38] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [21:37:50] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [21:38:03] Mehmet Ekinci | Adrenaline to id: 8
[14/08/22] [21:58:00] Naqasake Komutan | Adrenaline to id: 9
[14/08/22] [21:58:19] Naqasake Komutan | Heal to id: 9
[14/08/22] [22:04:31] Naqasake Komutan | Adrenaline to id: 9
[14/08/22] [22:11:41] Abbas Devir | Adrenaline to id: 9
[14/08/22] [22:11:56] Abbas Devir | Adrenaline to id: 9
[14/08/22] [22:11:59] Abbas Devir | Adrenaline to id: 1
[15/08/22] [00:38:01] Abbas Devir | Heal to id: 17
[15/08/22] [00:49:09] Abbas Devir | Heal to id: 17
[15/08/22] [00:53:46] Abbas Devir | Adrenaline to id: 1
[15/08/22] [00:53:53] Abbas Devir | Adrenaline to id: 1
[15/08/22] [00:54:03] Abbas Devir | Adrenaline to id: 1
[15/08/22] [00:54:07] Abbas Devir | Heal to id: 1
[15/08/22] [00:54:22] Abbas Devir | Heal to id: 1
[15/08/22] [01:21:57] Abbas Devir | Heal to id: 17
[15/08/22] [01:24:04] Jack Harris | Adrenaline to id: 1
[15/08/22] [02:12:53] Jack Harris | Adrenaline to id: 1
[15/08/22] [13:04:58] Emre Kurt | Adrenaline to id: 7
[15/08/22] [13:06:42] Jack Harris | Adrenaline to id: 1
[15/08/22] [13:47:21] Antu Donmez | Adrenaline to id: 3
[15/08/22] [13:54:21] Antu Donmez | Adrenaline to id: 3
[15/08/22] [13:55:02] Jack Harris | Adrenaline to id: 1
[15/08/22] [15:08:42] Emre Kurt | Adrenaline to id: 7
[15/08/22] [15:27:44] Emre Kurt | Adrenaline to id: 7
[15/08/22] [15:28:46] Antu Donmez | Adrenaline to id: 3
[15/08/22] [15:34:14] Antu Donmez | Adrenaline to id: 3
[15/08/22] [15:49:07] Emre Kurt | Adrenaline to id: 3
[15/08/22] [15:49:49] Emre Kurt | Adrenaline to id: 7
[15/08/22] [16:11:44] Antu Donmez | Adrenaline to id: 3
[15/08/22] [16:12:23] Antu Donmez | Adrenaline to id: 3
[15/08/22] [16:13:38] Antu Donmez | Adrenaline to id: 22
[15/08/22] [16:13:49] Antu Donmez | Adrenaline to id: 3
[15/08/22] [16:14:02] Antu Donmez | Adrenaline to id: 3
[15/08/22] [16:14:09] Antu Donmez | Adrenaline to id: 2
[15/08/22] [16:14:14] Antu Donmez | Adrenaline to id: 22
[15/08/22] [16:18:26] Antu Donmez | Adrenaline to id: 22
[15/08/22] [16:46:43] Jack Harris | Adrenaline to id: 16
[15/08/22] [16:47:13] Emre Kurt | Adrenaline to id: 22
[15/08/22] [16:47:25] Emre Kurt | Adrenaline to id: 22
[15/08/22] [16:47:35] Emre Kurt | Adrenaline to id: 22
[15/08/22] [16:48:13] Emre Kurt | Adrenaline to id: 22
[15/08/22] [16:48:51] Antu Donmez | Adrenaline to id: 22
[15/08/22] [16:50:57] Emre Kurt | Heal to id: 7
[15/08/22] [17:03:15] Jack Harris | Adrenaline to id: 1
[15/08/22] [17:03:21] Jack Harris | Adrenaline to id: 1
[15/08/22] [17:08:11] Antu Donmez | Adrenaline to id: 22
[15/08/22] [17:09:04] Antu Donmez | Adrenaline to id: 22
[15/08/22] [17:09:13] Antu Donmez | Adrenaline to id: 22
